Chapter Name,Section Name,Verse,Translation
அறத்துப்பால் , கடவுள் வாழ்த்து ,"அகர	முதல	எழுத்தெல்லாம்	ஆதி			பகவன்	முதற்றே	உலகு.	","A, as its first of letters, every speech maintains; The Primal Deity is first through all the world's domains. "
அறத்துப்பால் , கடவுள் வாழ்த்து ,"கற்றதனால்	ஆய	பயனென்கொல்	வாலறிவன்			நற்றாள்	தொழாஅர்	எனின்.	","No fruit have men of all their studied lore, Save they the 'Purely Wise One's' feet adore. "
அறத்துப்பால் , கடவுள் வாழ்த்து ,"மலர்மிசை	ஏகினான்	மாணடி	சேர்ந்தார்			நிலமிசை	நீடுவாழ்	வார்.	","His feet, 'Who o'er the full-blown flower hath past,' who gain In bliss long time shall dwell above this earthly plain. "
அறத்துப்பால் , கடவுள் வாழ்த்து ,"வேண்டுதல்	வேண்டாமை	இலானடி	சேர்ந்தார்க்கு			யாண்டும்	இடும்பை	இல.	","His foot, 'Whom want affects not, irks not grief,' who gain Shall not, through every time, of any woes complain. "
அறத்துப்பால் , கடவுள் வாழ்த்து ,"இருள்சேர்	இருவினையும்	சேரா	இறைவன்			பொருள்சேர்	புகழ்புரிந்தார்	மாட்டு.	","The men, who on the 'King's' true praised delight to dwell, Affects not them the fruit of deeds done ill or well. "
அறத்துப்பால் , கடவுள் வாழ்த்து ,"பொறிவாயில்	ஐந்தவித்தான்	பொய்தீர்	ஒழுக்க			நெறிநின்றார்	நீடுவாழ்	வார்.	","Long live they blest, who 've stood in path from falsehood freed; His, 'Who quenched lusts that from the sense-gates five proceed'. "
அறத்துப்பால் , கடவுள் வாழ்த்து ,"தனக்குவமை	இல்லாதான்	தாள்சேர்ந்தார்க்	கல்லால்			மனக்கவலை	மாற்றல்	அரிது.	","Unless His foot, 'to Whom none can compare,' men gain, 'Tis hard for mind to find relief from anxious pain. "
அறத்துப்பால் , கடவுள் வாழ்த்து ,"அறவாழி	அந்தணன்	தாள்சேர்ந்தார்க்	கல்லால்			பிறவாழி	நீந்தல்	அரிது.	","Unless His feet 'the Sea of Good, the Fair and Bountiful,' men gain, 'Tis hard the further bank of being's changeful sea to attain. "
அறத்துப்பால் , கடவுள் வாழ்த்து ,"கோளில்	பொறியின்	குணமிலவே	எண்குணத்தான்			தாளை	வணங்காத்	தலை.	","Before His foot, 'the Eight-fold Excellence,' with unbent head, Who stands, like palsied sense, is to all living functions dead. "
அறத்துப்பால் , கடவுள் வாழ்த்து ,"பிறவிப்	பெருங்கடல்	நீந்துவர்	நீந்தார்			இறைவன்	அடிசேரா	தார்.	","They swim the sea of births, the 'Monarch's' foot who gain; None others reach the shore of being's mighty main. "
அறத்துப்பால் , வான்சிறப்பு ,"வான்நின்று	உலகம்	வழங்கி	வருதலால்			தான்அமிழ்தம்	என்றுணரற்	பாற்று.	",The world its course maintains through life that rain unfailing gives; Thus rain is known the true ambrosial food of all that lives. 
அறத்துப்பால் , வான்சிறப்பு ,"துப்பார்க்குத்	துப்பாய	துப்பாக்கித்	துப்பார்க்குத்			துப்பாய	தூஉம்	மழை.	","The rain makes pleasant food for eaters rise; As food itself, thirst-quenching draught supplies. "
அறத்துப்பால் , வான்சிறப்பு ,"விண்இன்று	பொய்ப்பின்	விரிநீர்	வியனுலகத்து			உள்நின்று	உடற்றும்	பசி.	","If clouds, that promised rain, deceive, and in the sky remain, Famine, sore torment, stalks o'er earth's vast ocean-girdled plain. "
அறத்துப்பால் , வான்சிறப்பு ,"ஏரின்	உழாஅர்	உழவர்	புயல்என்னும்			வாரி	வளங்குன்றிக்	கால்.	","If clouds their wealth of waters fail on earth to pour, The ploughers plough with oxen's sturdy team no more. "
அறத்துப்பால் , வான்சிறப்பு ,"கெடுப்பதூஉம்	கெட்டார்க்குச்	சார்வாய்மற்	றாங்கே			எடுப்பதூஉம்	எல்லாம்	மழை.	","'Tis rain works all: it ruin spreads, then timely aid supplies; As, in the happy days before, it bids the ruined rise. "
அறத்துப்பால் , வான்சிறப்பு ,"விசும்பின்	துளிவீழின்	அல்லால்மற்	றாங்கே			பசும்புல்	தலைகாண்பு	அரிது.	",If from the clouds no drops of rain are shed. 'Tis rare to see green herb lift up its head. 
